Problem,Heuristic,Algorithm,Goal Tests,Nodes Expanded,Nodes Evaluated,Solution Cost,Runtime (Seconds)
p1,Zero,BFS,1072.0,7357.0,0.0,16,2.3828
p1,Zero,DFS,1313.0,8809.0,0.0,246,2.9563
p1,Zero,A*,1069.0,7343.0,1075.0,16,2.3574
p1,Manhattan Distance,A*,1021.0,7080.0,1050.0,16,2.2892
p1,Blocking Vehicles,A*,1057.0,7285.0,1069.0,16,2.4997
p1,Improved Blocking Vehicles,A*,1052.0,7257.0,1071.0,16,2.5558
p1,Distance Improved Blocking Vehicles,A*,894.0,6271.0,1003.0,16,2.2167
p1,Zero,IDA*,9898.0,69251.0,10975.0,16,22.3448
p1,Manhattan Distance,IDA*,6727.0,47316.0,7802.0,16,15.2501
p1,Blocking Vehicles,IDA*,7986.0,55884.0,9064.0,16,18.3739
p1,Improved Blocking Vehicles,IDA*,7461.0,52478.0,8807.0,16,18.2292
p1,Distance Improved Blocking Vehicles,IDA*,4297.0,30510.0,5617.0,16,10.4818
p2,Zero,BFS,2919.0,22540.0,0.0,14,8.4457
p2,Zero,DFS,1657.0,13283.0,0.0,1627,4.6692
p2,Zero,A*,3074.0,23777.0,3579.0,14,9.0742
p2,Manhattan Distance,A*,1658.0,12870.0,2022.0,14,4.8315
p2,Blocking Vehicles,A*,1903.0,14731.0,2264.0,14,5.6513
p2,Improved Blocking Vehicles,A*,1740.0,13470.0,2173.0,14,5.1975
p2,Distance Improved Blocking Vehicles,A*,872.0,6745.0,1318.0,14,2.6129
p2,Zero,IDA*,16110.0,125442.0,19707.0,14,45.4084
p2,Manhattan Distance,IDA*,7580.0,59463.0,10017.0,14,21.6121
p2,Blocking Vehicles,IDA*,9085.0,70487.0,11715.0,14,26.2021
p2,Improved Blocking Vehicles,IDA*,8251.0,64012.0,11408.0,14,23.8896
p2,Distance Improved Blocking Vehicles,IDA*,2926.0,22735.0,4923.0,14,8.5166
p3,Zero,BFS,824.0,4837.0,0.0,33,1.4123
p3,Zero,DFS,643.0,3841.0,0.0,180,1.1498
p3,Zero,A*,812.0,4768.0,825.0,33,1.7247
p3,Manhattan Distance,A*,656.0,3813.0,761.0,33,1.357
p3,Blocking Vehicles,A*,776.0,4564.0,816.0,33,1.3929
p3,Improved Blocking Vehicles,A*,770.0,4538.0,818.0,33,1.3817
p3,Distance Improved Blocking Vehicles,A*,477.0,2676.0,601.0,33,0.8468
p3,Zero,IDA*,12233.0,70771.0,13069.0,33,20.2167
p3,Manhattan Distance,IDA*,9576.0,54885.0,10727.0,33,15.7297
p3,Blocking Vehicles,IDA*,10882.0,62628.0,11782.0,33,19.1416
p3,Improved Blocking Vehicles,IDA*,10234.0,58989.0,11248.0,33,18.0391
p3,Distance Improved Blocking Vehicles,IDA*,7770.0,44294.0,8762.0,33,13.4484
p4,Zero,BFS,7.0,18.0,0.0,3,0.0058
p4,Zero,DFS,6.0,15.0,0.0,5,0.0045
p4,Zero,A*,7.0,18.0,10.0,3,0.0061
p4,Manhattan Distance,A*,4.0,9.0,8.0,3,0.0028
